Serial Number;205309
Device Identity;205309-100mH2O
Exported from File;C:\Users\vaw\Documents\KELLER\LOGGER_5\data\205309-100mH2O_26_08_2021-08_30_00.DX5
Record Start Time;26/08/2021 08:30:00

;;;;CH1;CH4;CH11
;;;;Pressure1;Temperature TOB1;Conductivity Raw
;;;;mbar;°C;mS/cm
No;;Date;Time;P1;TOB1;ConRaw
1;;26/08/2021;08:30:00;772,995;14,15;0,00004;
2;;26/08/2021;08:30:01;772,995;14,17;0,00002;
3;;26/08/2021;08:30:02;773,209;14,17;0,00003;
4;;26/08/2021;08:30:03;772,995;14,17;0,00003;
5;;26/08/2021;08:30:04;772,995;14,17;0,00003;
6;;26/08/2021;08:30:05;773,193;14,17;0,00003;
7;;26/08/2021;08:30:06;773,193;14,17;0,00003;
8;;26/08/2021;08:30:07;772,980;14,17;0,00003;
9;;26/08/2021;08:30:08;773,193;14,15;0,00004;
10;;26/08/2021;08:30:09;773,193;14,17;0,00003;
11;;26/08/2021;08:30:10;773,193;14,17;0,00003;
12;;26/08/2021;08:30:11;773,193;14,17;0,00003;
13;;26/08/2021;08:30:12;773,193;14,17;0,00003;
14;;26/08/2021;08:30:13;772,980;14,17;0,00003;
15;;26/08/2021;08:30:14;773,407;14,17;0,00002;
16;;26/08/2021;08:30:15;773,193;14,17;0,00003;
17;;26/08/2021;08:30:16;773,193;14,17;0,00004;
18;;26/08/2021;08:30:17;773,193;14,17;0,00003;
19;;26/08/2021;08:30:18;772,980;14,17;0,00002;
20;;26/08/2021;08:30:19;773,193;14,17;0,00004;
21;;26/08/2021;08:30:20;772,980;14,17;0,00004;
22;;26/08/2021;08:30:21;772,980;14,17;0,00003;
23;;26/08/2021;08:30:22;772,980;14,17;0,00003;
24;;26/08/2021;08:30:23;772,980;14,17;0,00003;
25;;26/08/2021;08:30:24;773,193;14,17;0,00003;
26;;26/08/2021;08:30:25;772,980;14,17;0,00003;
27;;26/08/2021;08:30:26;772,980;14,17;0,00003;
28;;26/08/2021;08:30:27;772,980;14,17;0,00004;
29;;26/08/2021;08:30:28;772,980;14,17;0,00003;
30;;26/08/2021;08:30:29;773,193;14,17;0,00003;
31;;26/08/2021;08:30:30;772,980;14,17;0,00003;
32;;26/08/2021;08:30:31;772,980;14,17;0,00003;
33;;26/08/2021;08:30:32;772,980;14,17;0,00003;
34;;26/08/2021;08:30:33;772,980;14,17;0,00003;
35;;26/08/2021;08:30:34;773,193;14,17;0,00003;
36;;26/08/2021;08:30:35;772,980;14,17;0,00003;
37;;26/08/2021;08:30:36;772,980;14,17;0,00003;
38;;26/08/2021;08:30:37;772,980;14,17;0,00003;
39;;26/08/2021;08:30:38;772,980;14,17;0,00003;
40;;26/08/2021;08:30:39;772,980;14,15;0,00003;
41;;26/08/2021;08:30:40;773,193;14,17;0,00004;
42;;26/08/2021;08:30:41;772,980;14,17;0,00003;
43;;26/08/2021;08:30:42;772,980;14,15;0,00003;
44;;26/08/2021;08:30:43;773,193;14,15;0,00003;
45;;26/08/2021;08:30:44;773,193;14,15;0,00003;
46;;26/08/2021;08:30:45;773,407;14,15;0,00003;
47;;26/08/2021;08:30:46;772,995;14,17;0,00004;
48;;26/08/2021;08:30:47;773,193;14,17;0,00003;
49;;26/08/2021;08:30:48;772,995;14,15;0,00003;
50;;26/08/2021;08:30:49;773,193;14,15;0,00004;
